CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH
1.1,65.0,3.4,63.0,78.0,15.6,37.5,0.6575
1.1,63.0,3.5,60.0,76.0,15.5,36.7,0.6438
1.1,61.0,2.9,63.0,74.0,14.5,39.0,0.6428
1.1,63.0,3.1,66.0,81.0,14.2,38.2,0.6163
0.7,31.0,1.6,41.0,58.0,13.7,38.3,0.5957
0.6,29.0,1.1,42.0,59.0,14.1,34.0,0.5442
0.7,34.0,2.0,36.0,54.0,14.6,34.0,0.5605
0.3,9.0,0.7,16.0,25.0,13.9,30.9,0.4868
0.3,14.0,0.5,16.0,26.0,13.5,37.9,0.5852
0.4,23.0,0.7,33.0,49.0,13.9,43.6,0.6871
0.5,36.0,0.9,39.0,53.0,13.5,50.1,0.7706
0.6,39.0,1.5,45.0,57.0,13.3,53.6,0.8169
0.8,38.0,2.2,63.0,73.0,13.4,56.0,0.8576
1.0,55.0,2.9,71.0,78.0,13.0,59.6,0.886
1.3,75.0,3.9,104.0,93.0,12.7,62.7,0.9173
1.1,64.0,2.8,85.0,71.0,12.1,60.5,0.8505
0.6,39.0,1.4,53.0,56.0,11.2,64.4,0.8537
0.7,42.0,1.7,58.0,60.0,10.7,67.6,0.8703
1.2,78.0,3.6,89.0,77.0,11.4,61.2,0.8236
1.4,69.0,3.1,96.0,82.0,9.9,70.5,0.8581
1.2,67.0,3.5,88.0,77.0,10.3,65.2,0.8151
1.3,83.0,3.9,100.0,91.0,11.0,58.9,0.7714
1.8,79.0,5.2,127.0,93.0,10.6,59.5,0.7595
1.2,68.0,3.7,88.0,82.0,10.6,57.7,0.7362
0.8,56.0,2.7,66.0,74.0,10.6,56.1,0.7149
0.8,49.0,2.6,61.0,68.0,10.3,58.0,0.7239
0.8,56.0,2.4,54.0,65.0,10.4,58.4,0.7352
0.7,48.0,2.0,46.0,58.0,10.7,58.2,0.7459
0.5,27.0,1.3,25.0,36.0,10.5,59.9,0.7624
0.3,29.0,1.2,18.0,29.0,10.5,60.8,0.7704
0.3,47.0,0.9,21.0,28.0,11.1,60.1,0.7925
0.7,66.0,3.1,76.0,68.0,10.1,68.4,0.8443
1.6,163.0,6.9,149.0,99.0,10.0,68.7,0.8456
3.9,524.0,19.1,328.0,130.0,11.0,64.2,0.8398
4.5,657.0,22.1,282.0,128.0,12.0,58.1,0.8138
2.7,324.0,11.8,206.0,120.0,12.8,52.0,0.7643
1.6,144.0,7.3,133.0,93.0,12.6,50.8,0.7387
1.6,135.0,8.0,137.0,96.0,13.8,47.4,0.7435
1.6,140.0,7.2,116.0,84.0,15.1,42.7,0.7294
1.5,141.0,7.7,112.0,87.0,16.3,38.1,0.7006
1.8,181.0,9.7,128.0,87.0,16.6,36.7,0.6867
2.1,227.0,9.8,145.0,103.0,15.8,40.5,0.7241
1.7,149.0,7.7,110.0,88.0,16.3,41.8,0.7712
3.0,425.0,15.3,184.0,118.0,16.1,42.8,0.7783
4.6,669.0,21.5,243.0,134.0,15.3,46.8,0.8074
5.0,680.0,21.7,259.0,144.0,14.7,47.0,0.7815
3.5,446.0,14.6,205.0,129.0,14.1,49.6,0.7931
2.1,205.0,9.3,144.0,108.0,13.5,54.1,0.8351
2.1,194.0,9.4,152.0,104.0,12.3,59.2,0.8461
1.5,115.0,6.8,108.0,90.0,11.6,62.2,0.851
1.1,74.0,4.9,64.0,74.0,11.5,61.4,0.8303
0.9,85.0,3.9,73.0,73.0,10.9,64.6,0.8395
0.7,66.0,2.7,47.0,60.0,11.1,63.2,0.8331
0.9,47.0,3.3,79.0,62.0,10.2,65.8,0.8196
1.6,116.0,7.4,113.0,71.0,10.3,65.6,0.8225
3.9,478.0,18.2,263.0,94.0,10.8,64.0,0.8307
5.0,836.0,27.7,275.0,99.0,13.3,55.6,0.8453
4.3,655.0,18.3,263.0,119.0,15.8,46.8,0.8328
2.7,312.0,12.3,183.0,103.0,19.5,34.4,0.7738
2.1,195.0,8.9,147.0,95.0,21.1,30.2,0.745
2.1,238.0,10.4,132.0,95.0,18.4,34.2,0.7185
3.9,536.0,19.1,309.0,114.0,13.5,53.4,0.8196
3.8,481.0,17.3,327.0,127.0,15.0,49.3,0.8364
3.8,460.0,17.5,299.0,135.0,17.1,42.1,0.812
3.9,597.0,17.0,257.0,135.0,18.4,36.9,0.7758
3.5,465.0,17.0,195.0,120.0,19.3,35.4,0.7824
4.0,542.0,19.5,231.0,129.0,19.2,35.7,0.7826
3.0,437.0,14.8,170.0,114.0,21.5,30.4,0.7677
3.1,383.0,14.0,192.0,129.0,19.6,34.6,0.7807
5.2,778.0,24.4,251.0,149.0,19.6,35.5,0.8017
5.9,926.0,28.1,289.0,149.0,18.3,44.1,0.9183
7.3,1189.0,33.7,351.0,158.0,17.4,47.8,0.9392
6.1,824.0,24.2,319.0,148.0,16.8,49.8,0.9446
4.6,660.0,19.8,264.0,134.0,16.2,53.2,0.9723
2.5,203.0,9.3,144.0,111.0,14.9,59.1,0.9928
2.2,136.0,7.3,119.0,106.0,13.9,64.0,1.013
2.0,114.0,7.1,120.0,108.0,13.7,66.8,1.041
1.9,110.0,6.7,96.0,93.0,13.4,69.6,1.0688
1.6,127.0,6.0,77.0,83.0,12.8,71.9,1.0632
1.0,70.0,3.6,63.0,69.0,11.9,74.8,1.038
1.2,93.0,5.4,97.0,77.0,11.6,76.4,1.0415
2.0,179.0,10.0,180.0,87.0,11.7,75.3,1.0325
4.5,523.0,23.2,352.0,109.0,12.8,71.0,1.0428
4.1,546.0,18.7,279.0,116.0,13.8,61.1,0.9595
2.6,251.0,9.9,186.0,105.0,15.3,51.4,0.8886
2.3,222.0,10.2,169.0,106.0,16.6,48.7,0.9146
2.6,212.0,11.0,172.0,108.0,17.6,46.7,0.9324
2.4,263.0,10.5,127.0,100.0,19.2,42.7,0.9425
4.3,535.0,18.9,230.0,149.0,15.7,62.5,1.1092
4.6,609.0,18.9,280.0,148.0,14.5,75.7,1.2425
4.0,449.0,17.5,242.0,126.0,14.4,77.4,1.2654
4.7,536.0,17.7,250.0,140.0,14.6,74.9,1.2391
5.7,743.0,23.0,309.0,142.0,14.6,76.0,1.2573
5.2,575.0,20.4,270.0,141.0,14.0,76.3,1.2166
6.4,783.0,26.8,323.0,149.0,13.9,78.0,1.2303
6.0,706.0,19.9,307.0,140.0,13.8,78.0,1.2229
3.4,299.0,12.5,224.0,117.0,13.5,79.4,1.2224
2.7,159.0,9.6,166.0,103.0,13.1,80.1,1.2016
3.1,171.0,10.0,171.0,99.0,12.8,81.0,1.1915
2.6,162.0,8.1,169.0,100.0,12.7,80.6,1.1819
2.2,111.0,7.1,120.0,88.0,12.5,81.8,1.1838
1.9,134.0,6.4,103.0,83.0,12.7,81.2,1.1849
0.6,46.0,2.9,59.0,59.0,14.2,52.2,0.8413
0.8,56.0,4.9,72.0,67.0,14.3,55.4,0.9003
4.0,452.0,22.6,244.0,95.0,14.0,58.0,0.9202
5.6,880.0,31.1,351.0,123.0,15.4,53.3,0.9289
5.0,759.0,22.1,358.0,142.0,19.1,42.1,0.9233
3.2,394.0,18.3,245.0,142.0,23.7,31.0,0.8968
3.8,639.0,22.0,240.0,169.0,26.9,25.7,0.8942
3.3,541.0,20.1,179.0,142.0,29.7,20.6,0.8478
3.0,468.0,18.9,160.0,136.0,29.2,21.5,0.8573
3.2,483.0,20.6,174.0,147.0,29.6,20.1,0.8181
4.4,682.0,25.3,260.0,196.0,30.0,19.4,0.81
4.6,698.0,25.8,281.0,186.0,29.5,20.1,0.8136
5.2,832.0,30.6,284.0,177.0,27.0,26.8,0.9403
4.8,872.0,27.1,250.0,164.0,24.9,30.8,0.954
5.6,899.0,32.5,281.0,161.0,23.1,36.7,1.0244
4.6,692.0,20.8,230.0,146.0,21.5,40.8,1.0333
1.8,145.0,10.9,98.0,98.0,20.5,41.5,0.9864
2.2,208.0,13.0,121.0,108.0,19.2,44.9,0.9875
2.0,204.0,11.8,110.0,107.0,18.8,47.7,1.0221
2.8,240.0,13.4,161.0,113.0,18.2,49.7,1.0284
2.6,251.0,13.4,148.0,100.0,16.1,57.4,1.0451
1.8,173.0,9.0,109.0,87.0,16.3,55.3,1.0178
0.7,65.0,3.7,71.0,65.0,14.8,57.7,0.9644
0.9,119.0,5.7,75.0,64.0,14.0,59.7,0.9499
1.5,151.0,10.0,106.0,73.0,14.6,56.8,0.9385
2.5,305.0,15.0,166.0,86.0,16.7,51.9,0.9788
3.0,415.0,15.6,188.0,105.0,20.0,45.0,1.039
2.6,321.0,12.3,161.0,107.0,23.9,33.7,0.9837
2.6,358.0,14.4,139.0,114.0,26.8,29.5,1.0209
2.6,350.0,14.6,134.0,105.0,27.2,32.4,1.1493
1.9,238.0,8.7,84.0,74.0,26.9,32.1,1.1217
2.0,215.0,11.0,98.0,95.0,24.3,41.8,1.2561
1.7,192.0,9.0,91.0,89.0,25.6,36.0,1.1629
1.9,205.0,10.7,99.0,95.0,27.0,31.8,1.1176
1.8,165.0,9.9,90.0,93.0,27.5,31.6,1.1417
2.8,283.0,15.7,147.0,123.0,24.9,38.1,1.1838
3.5,467.0,19.4,177.0,134.0,23.4,39.7,1.1276
3.4,485.0,16.8,162.0,126.0,21.2,50.8,1.2631
2.0,202.0,6.8,88.0,79.0,15.6,73.5,1.2953
1.1,64.0,3.0,53.0,54.0,12.9,79.7,1.1774
1.3,71.0,3.2,68.0,69.0,11.5,76.9,1.0436
1.2,84.0,3.1,61.0,67.0,12.2,66.8,0.9455
1.3,70.0,3.9,71.0,73.0,12.4,64.1,0.9209
1.0,61.0,3.6,63.0,73.0,12.7,58.7,0.8605
0.3,20.0,0.7,14.0,20.0,12.5,50.9,0.7346
0.5,31.0,1.1,34.0,37.0,12.8,49.3,0.7285
0.6,41.0,1.4,42.0,50.0,13.5,48.6,0.7487
0.6,40.0,1.6,40.0,45.0,14.4,45.9,0.7476
0.8,35.0,2.3,48.0,48.0,15.1,43.9,0.7487
1.0,44.0,2.5,61.0,56.0,16.6,38.6,0.7236
0.9,71.0,2.7,58.0,58.0,17.2,35.0,0.6789
1.0,66.0,2.7,57.0,52.0,17.4,33.9,0.6683
0.8,46.0,2.2,54.0,52.0,17.9,30.7,0.6234
0.7,50.0,2.0,41.0,44.0,18.3,27.2,0.5675
0.9,51.0,3.4,57.0,59.0,19.4,25.7,0.5738
1.3,64.0,4.5,83.0,74.0,20.2,24.1,0.563
1.4,138.0,4.7,81.0,76.0,19.6,24.9,0.5625
1.5,137.0,6.0,98.0,83.0,18.5,27.8,0.5843
2.7,303.0,11.7,124.0,100.0,17.8,30.3,0.6129
2.5,204.0,8.2,133.0,101.0,16.6,34.0,0.6353
1.4,95.0,5.1,100.0,90.0,15.5,37.0,0.6447
2.8,347.0,13.0,116.0,93.0,14.8,39.5,0.6595
2.1,252.0,7.0,102.0,79.0,14.5,42.0,0.6896
1.1,66.0,3.9,55.0,57.0,14.1,44.9,0.7206
0.7,45.0,2.2,33.0,43.0,14.2,45.5,0.7333
0.4,36.0,1.3,17.0,25.0,14.1,45.3,0.7247
0.4,21.0,1.2,35.0,44.0,13.9,43.9,0.6923
0.8,60.0,3.4,70.0,72.0,14.0,43.8,0.6959
1.9,155.0,7.5,116.0,91.0,14.4,43.6,0.7113
2.1,235.0,8.9,134.0,89.0,15.0,41.7,0.7093
1.4,89.0,5.3,113.0,84.0,16.3,38.4,0.7052
1.4,76.0,5.4,110.0,83.0,18.3,32.3,0.676
1.3,101.0,5.2,98.0,78.0,18.8,31.7,0.6821
1.5,109.0,6.6,96.0,80.0,19.6,30.9,0.6968
1.6,143.0,6.9,95.0,75.0,20.2,30.7,0.7176
1.3,104.0,5.4,86.0,77.0,19.7,32.5,0.7396
1.4,107.0,6.0,86.0,77.0,20.7,31.6,0.7602
1.5,133.0,6.4,91.0,81.0,20.0,32.7,0.7545
2.2,171.0,10.7,119.0,101.0,18.6,35.4,0.7535
3.2,405.0,13.9,147.0,119.0,18.3,35.9,0.7501
3.0,334.0,12.5,135.0,111.0,17.8,37.5,0.7568
2.6,236.0,9.3,124.0,109.0,17.3,38.8,0.7584
1.6,99.0,6.7,89.0,101.0,17.3,38.8,0.7596
1.5,93.0,5.3,79.0,89.0,16.4,40.8,0.7542
1.2,82.0,4.0,63.0,75.0,16.0,41.4,0.7487
0.8,51.0,2.2,39.0,51.0,15.4,43.0,0.7482
0.7,41.0,1.7,25.0,39.0,15.7,42.5,0.7539
0.5,31.0,1.6,19.0,32.0,15.6,43.4,0.7651
0.7,38.0,3.3,58.0,68.0,15.5,47.3,0.8282
1.4,111.0,8.9,112.0,76.0,14.4,53.1,0.8677
4.1,584.0,23.4,314.0,122.0,15.9,48.5,0.8704
4.6,633.0,23.8,240.0,129.0,18.1,40.3,0.8294
1.9,145.0,7.9,128.0,94.0,19.6,35.9,0.81
1.9,155.0,8.2,141.0,99.0,22.8,29.1,0.796
1.7,128.0,8.8,118.0,81.0,24.8,25.3,0.7793
2.4,255.0,14.6,132.0,87.0,27.2,22.0,0.7785
3.0,411.0,18.0,150.0,107.0,28.2,20.4,0.7677
2.0,173.0,12.0,121.0,95.0,25.4,24.2,0.7733
2.7,277.0,14.8,149.0,110.0,25.7,23.8,0.7737
2.2,259.0,12.5,120.0,99.0,27.2,22.1,0.7811
2.9,274.0,15.5,155.0,113.0,27.0,22.3,0.786
3.4,377.0,17.7,172.0,127.0,24.5,27.8,0.8433
3.9,457.0,21.6,177.0,131.0,23.7,30.2,0.8718
3.6,555.0,18.9,181.0,137.0,21.5,34.5,0.8746
2.5,279.0,12.5,135.0,122.0,19.9,37.8,0.8675
1.8,137.0,8.8,99.0,100.0,18.9,40.6,0.8771
2.0,203.0,10.9,111.0,108.0,17.9,43.5,0.884
1.3,101.0,8.0,72.0,83.0,17.4,46.3,0.9112
1.0,86.0,4.4,54.0,74.0,18.1,44.7,0.9186
0.6,51.0,2.8,41.0,64.0,16.5,50.1,0.9331
0.5,33.0,2.5,29.0,39.0,16.3,52.8,0.9722
1.1,95.0,7.5,76.0,69.0,13.9,60.7,0.9597
5.5,754.0,30.4,321.0,104.0,15.0,58.3,0.9876
4.2,588.0,22.0,274.0,100.0,16.1,54.8,0.996
4.6,658.0,24.7,322.0,146.0,19.3,46.4,1.0248
3.4,372.0,18.4,255.0,155.0,24.2,33.8,1.0097
2.8,386.0,16.8,196.0,139.0,26.7,28.7,0.9895
2.5,333.0,14.2,136.0,121.0,27.4,28.2,1.0098
2.4,293.0,15.7,119.0,108.0,28.1,26.9,1.0094
3.2,511.0,21.9,169.0,126.0,27.7,26.5,0.9693
3.5,559.0,20.8,197.0,145.0,28.4,23.4,0.8935
2.9,375.0,16.2,140.0,121.0,28.4,26.0,0.9922
3.6,509.0,19.8,178.0,145.0,27.3,30.0,1.0752
4.8,790.0,28.9,223.0,160.0,24.3,37.3,1.1199
5.4,816.0,28.3,222.0,155.0,23.1,42.2,1.1746
5.3,804.0,24.9,265.0,162.0,21.8,43.6,1.1226
2.7,332.0,13.1,151.0,129.0,19.8,46.8,1.0702
1.4,156.0,8.6,79.0,96.0,19.6,49.8,1.1221
1.6,143.0,9.5,87.0,92.0,17.9,56.2,1.142
1.5,117.0,7.8,88.0,89.0,17.4,55.6,1.0963
1.0,84.0,5.2,51.0,61.0,16.8,59.5,1.1269
0.6,60.0,2.8,34.0,54.0,15.9,60.1,1.0806
0.8,64.0,4.4,76.0,57.0,13.3,67.0,1.0203
1.5,148.0,9.4,139.0,68.0,12.9,66.5,0.9846
4.9,635.0,29.8,293.0,95.0,14.8,61.3,1.0237
7.2,1129.0,36.2,368.0,125.0,16.1,56.5,1.0274
3.5,475.0,18.0,250.0,135.0,18.6,47.8,1.0143
2.1,220.0,10.9,145.0,118.0,23.8,30.2,0.8771
1.5,105.0,9.0,110.0,91.0,25.4,25.0,0.7966
2.0,190.0,14.4,104.0,89.0,25.6,25.5,0.8234
3.8,516.0,22.3,205.0,129.0,24.9,29.9,0.9325
3.4,346.0,20.9,201.0,122.0,22.4,37.9,1.016
4.4,565.0,23.1,266.0,138.0,21.7,44.0,1.1242
3.9,483.0,21.2,246.0,136.0,21.4,44.4,1.1176
4.9,651.0,24.8,247.0,143.0,20.8,45.3,1.1016
5.4,657.0,28.6,271.0,145.0,20.2,48.6,1.1354
6.5,830.0,32.6,332.0,146.0,20.2,50.8,1.1924
4.3,435.0,19.2,245.0,122.0,18.6,57.6,1.2233
2.9,209.0,16.3,180.0,112.0,18.2,58.8,1.2173
2.7,202.0,13.7,156.0,102.0,17.8,61.0,1.2352
2.8,174.0,13.6,172.0,97.0,17.0,70.7,1.3554
2.3,170.0,11.1,137.0,85.0,16.2,76.9,1.4051
1.7,116.0,7.6,91.0,76.0,15.7,78.6,1.3943
1.2,91.0,5.9,80.0,74.0,15.7,78.4,1.3917
0.8,48.0,4.5,68.0,66.0,15.7,74.7,1.3194
1.7,111.0,9.3,162.0,90.0,15.9,73.1,1.3136
3.0,345.0,18.3,213.0,111.0,16.6,68.2,1.2737
3.4,332.0,19.9,161.0,103.0,18.7,57.6,1.2323
3.3,344.0,16.6,209.0,117.0,17.6,65.0,1.2945
2.7,212.0,12.6,191.0,116.0,16.3,73.2,1.3458
2.6,166.0,12.9,215.0,109.0,16.0,78.5,1.4209
3.2,214.0,14.9,212.0,116.0,17.3,72.4,1.4125
3.4,377.0,17.4,202.0,115.0,19.4,60.9,1.3545
2.6,210.0,15.4,153.0,94.0,21.4,50.9,1.2823
3.4,265.0,16.7,185.0,121.0,22.7,45.8,1.2465
4.0,365.0,18.0,210.0,114.0,20.9,60.8,1.4852
4.5,454.0,19.2,215.0,110.0,21.0,54.3,1.3353
4.2,460.0,21.0,215.0,122.0,20.8,54.4,1.3194
5.7,642.0,26.9,281.0,135.0,19.8,58.6,1.3392
4.4,501.0,19.5,254.0,133.0,19.1,61.1,1.3345
3.1,234.0,15.1,189.0,110.0,18.2,65.4,1.3529
3.0,212.0,14.6,174.0,102.0,18.1,66.1,1.3579
3.1,275.0,13.7,167.0,108.0,17.7,66.9,1.3422
3.5,275.0,15.2,185.0,110.0,17.8,66.8,1.346
